,Car_Name,Year,Selling_Price,Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
288,city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,1
52,innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,1
170,Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,1
206,xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,1
142,Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,1
43,dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,1
232,elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,1
245,verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,1
127,Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,1
183,Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,1
101,UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,1
219,verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,1
62,fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,1
200,Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,1
216,eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,1
238,verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,1
63,fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,1
212,creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,1
42,sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,1
18,wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,1
292,jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,1
5,vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,1
186,TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,1
78,corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,1
161,TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,1
109,Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,1
265,jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,1
107,Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,1
220,eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,1
168,Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,1
17,ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,1
197,Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,1
92,innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,1
289,city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,1
135,Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,1
0,ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,1
192,Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,2
140,Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,1
276,city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,1
279,city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,1
128,Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,1
40,baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,1
150,TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,1
223,verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,1
10,alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,1
70,etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,1
36,dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,1
278,jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,1
86,land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,1
106,Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,2
60,corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,1
73,etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,1
259,amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,1
33,ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,1
110,KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,1
65,etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,1
118,Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,1
196,Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,1
98,corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,1
263,jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,1
84,innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,1
28,alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,1
239,eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,1
39,sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,1
205,grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,2
277,city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,1
66,innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,1
64,fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,1
204,eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,1
93,fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,1
211,elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,1
38,alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,1
235,verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,1
252,brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,1
181,Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,1
228,verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,1
272,city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,1
214,grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,1
210,i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,1
267,city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,1
251,city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,1
32,swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,1
124,Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,1
15,ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,1
117,Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,1
157,Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,1
162,Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,1
215,verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,1
208,i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,1
145,TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,1
76,corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,1
19,sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,1
269,city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,1
115,Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,1
283,city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,1
253,city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,1
96,innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,1
241,xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,2
163,Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,1
108,Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,1
44,omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,1
69,corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,1
198,Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,2
95,corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,1
6,ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,1
37,800,2003,0.35,2.28,127000,Petrol,Individual,Manual,1
129,Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,1
2,ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,1
21,ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,1
218,verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,1
102,KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,1
8,ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,1
231,verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,1
49,ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,1
94,corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,1
234,grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,1
187,Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,1
89,etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,1
14,dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,1
103,Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,1
294,amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,1
284,brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,1
31,ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,1
116,Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,1
27,swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,1
182,Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,1
122,Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,1
45,ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,1
77,corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,1
203,i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,1
88,etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,1
87,corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,1
132,Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,1
48,ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,1
111,Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,1
250,creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,1
105,KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,1
104,Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,1
56,etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,1
55,corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,1
207,grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,1
297,brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,1
202,grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,1
191,Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,2
275,city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,1
167,TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,1
270,city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,1
201,i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,2
194,Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,1
178,TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,1
137,Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,1
295,city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,1
29,ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,1
226,grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,1
298,city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,1
247,verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,1
3,wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,1
171,Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,1
83,innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,1
189,Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,1
134,TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,1
91,innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,1
4,swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,1
266,amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,1
188,Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,1
237,creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,1
300,brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,1
20,alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,1
35,sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,1
246,i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,1
50,fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,1
57,corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,1
195,Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,1
225,i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,1
282,city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,1
227,i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,1
164,Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,1
121,Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,1
53,fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,1
154,Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,1
248,i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,1
199,Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,1
26,swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,1
144,Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,1
193,Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,2
273,jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,1
25,swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,1
254,city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,1
133,Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,1
47,wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,1
141,Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,1
165,Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,1
72,corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,1
59,fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,1
156,TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,1
81,etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,1
130,Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,1
293,city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,1
173,Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,1
217,eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,1
85,camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,4
256,city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,1
261,brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,1
147,Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,1
222,i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,1
190,Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,1
138,Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,1
166,Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,1
243,i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,1
274,brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,1
262,amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,1
123,Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,1
113,Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,1
255,brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,1
24,wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,1
213,i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,1
179,Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,1
120,Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,1
180,Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,1
22,sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,1
11,ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,1
280,brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,1
146,Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,1
1,sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,1
75,etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,1
139,Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,1
149,Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,1
160,Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,1
258,city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,1
299,city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,1
229,i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,1
126,Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,1
296,city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,1
236,eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,1
153,Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,1
244,verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,1
230,verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,1
16,ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,1
74,etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,1
176,Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,1
